cid,smiles
4,CC(CN)O
58,CCC(=O)C(=O)O
107,C1=CC=C(C=C1)CCC(=O)O
125,C1=CC(=CC=C1CO)O
126,C1=CC(=CC=C1C=O)O
135,C1=CC(=CC=C1C(=O)O)O
176,CC(=O)O
177,CC=O
179,CC(C(=O)C)O
180,CC(=O)C
196,C(CCC(=O)O)CC(=O)O
240,C1=CC=C(C=C1)C=O
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
261,CCCC=O
263,CCCCO
264,CCCC(=O)O
284,C(=O)O
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
325,CC(C)C1=CC=C(C=C1)CO
326,CC(C)C1=CC=C(C=C1)C=O
332,COC1=C(C=CC(=C1)C=C)O
335,CC1=CC=CC=C1O
342,CC1=CC(=CC=C1)O
379,CCCCCCCC(=O)O
454,CCCCCCCC=O
460,COC1=CC=CC=C1O
525,C(C(C(=O)O)O)C(=O)O
527,CCC=O
563,CSCCC(=O)O
612,CC(C(=O)O)O
650,CC(=O)C(=O)C
660,C1CC(=O)OC2=CC=CC=C21
670,C(C(=O)CO)O
702,CCO
757,C(C(=O)O)O
798,C1=CC=C2C(=C1)C=CN2
857,CC(C)CC(C(=O)O)N
875,C(C(C(=O)O)O)(C(=O)O)O
876,CSCCC(C(=O)O)N
878,CS
880,CC(=O)C=O
931,C1=CC=C2C=CC=CC2=C1
957,CCCCCCCCO
964,C(C(=O)C(=O)O)O
985,CCCCCCCCCCCCCCCC(=O)O
994,C1=CC=C(C=C1)CC(C(=O)O)N
996,C1=CC=C(C=C1)O
997,C1=CC=C(C=C1)CC(=O)C(=O)O
998,C1=CC=C(C=C1)CC=O
999,C1=CC=C(C=C1)CC(=O)O
1001,C1=CC=C(C=C1)CCN
1030,CC(CO)O
1031,CCCO
1032,CCC(=O)O
1049,C1=CC=NC=C1
1060,CC(=O)C(=O)O
1068,CSC
1110,C(CC(=O)O)C(=O)O
1127,C1CCSC1
1136,CC1=C(SC=N1)CCO
1145,C[N+](C)(C)[O-]
1146,CN(C)C
1182,CC(C)C(C(=O)O)N
1183,COC1=C(C=CC(=C1)C=O)O
1254,CC1CCC(C(C1)O)C(C)C
1491,C1=CC(=C(C=C1O)O)C(=O)O
2214,CC(=O)C1=CC(=C(C=C1)O)OC
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
2346,C1=CC=C(C=C1)CN=C=S
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2537,CC1(C2CCC1(C(=O)C2)C)C
2682,CCCCCCCCCCCCCCCCO
2758,CC1(C2CCC(O1)(CC2)C)C
2879,CC1=CC=C(C=C1)O
2969,CCCCCCCCCC(=O)O
2998,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
3314,COC1=C(C=CC(=C1)CC=C)O
3485,C(CC=O)CC=O
